Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Temp_diff,Torque_per_rpm,Real,Predito,Prob_Falha
L,300.5,309.8,1345,62.7,153,9.300000000000011,0.04661710037171256,0,1,0.9387982842198002
L,303.7,312.4,1513,40.1,135,8.699999999999989,0.026503635161912426,0,0,0.4342635917792586
L,302.5,311.4,1559,37.6,209,8.899999999999977,0.024118024374583633,0,0,0.5436482099390895
H,295.6,306.3,1509,35.8,60,10.699999999999989,0.02372432074219766,0,0,0.0440530745909053
H,300.5,310.0,1358,60.4,102,9.5,0.04447717231219111,0,1,0.8449232293017427
H,301.3,310.1,1455,44.1,188,8.800000000000011,0.030309278350494635,0,0,0.6448198204323785
L,302.4,310.0,1426,46.6,102,7.600000000000023,0.03267882187935998,0,0,0.6771726159849385
M,299.3,309.3,1471,46.0,42,10.0,0.031271244051644276,0,0,0.19981106729848733
L,300.7,312.3,1590,36.3,93,11.600000000000023,0.022830188679230923,0,0,0.06046520696634464
L,298.9,308.2,2384,15.0,19,9.300000000000011,0.006291946308722193,0,0,0.48896166559911297
L,299.0,308.6,1587,38.6,124,9.600000000000023,0.024322621298031304,0,0,0.2757573205819142
L,300.5,311.6,1365,53.0,85,11.100000000000023,0.038827838827810386,0,0,0.3465767962821103
M,300.9,310.8,1519,34.9,73,9.900000000000034,0.02297564186963596,0,0,0.07904445990199097
L,298.1,308.4,1436,46.7,103,10.299999999999955,0.032520891364879866,0,0,0.2871162434119125
H,295.5,305.9,1593,37.2,197,10.399999999999977,0.023352165725032424,0,0,0.283767146549716
L,304.0,313.0,1541,45.9,64,9.0,0.029785853341966394,0,0,0.4387860751437913
L,304.0,313.3,1519,36.7,117,9.300000000000011,0.024160631994717473,0,0,0.21784592536830763
L,303.7,312.1,1363,51.8,90,8.400000000000034,0.03800440205426412,1,0,0.7096226579665517
L,297.2,308.4,1677,26.4,146,11.199999999999989,0.015742397137736588,0,0,0.048840678739406736
M,298.7,308.4,1441,43.2,132,9.699999999999989,0.02997918112419849,0,0,0.3131742046406627
L,299.7,310.3,1495,43.1,101,10.600000000000023,0.028829431438107806,0,0,0.18900381257416551
L,298.9,310.2,2737,8.8,142,11.300000000000011,0.0032151991231263374,1,1,0.8785954596883434
H,298.5,307.9,1260,54.2,141,9.399999999999977,0.04301587301583888,0,0,0.7448733065550714
